year,value_ngn_trillion,yoy_pct,note,source
2020,2.01,,,Nairametrics 10 Mar 2025 historical table citing NBS
2021,4.56,126.9,,ditto
2022,7.71,69.1,,ditto
2023,7.51,-2.6,also reported as N7.5tn "down 2.51%" from N7.7tn in a separate Channels TV article citing NBS,Nairametrics 10 Mar 2025 / Channels TV 29 Mar 2024
2024,15.42,105.3,largely driven by 40.9% naira depreciation in 2024 not import volume increase,Nairametrics 10 Mar 2025 citing NBS
2025,8.96,-41.9,driven by Dangote ramp-up displacing imports,Businessday NG / Daily Trust citing NBS
